                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.56977,                 1.8054,                 1.0276,                0.99769,                0.99897,                  0.995,                0.95326,                0.28974,                0.45467,                0.83191,              0.0033315,              0.0033315,              0.0033315
                      2,                0.48033,                0.84834,                0.95682,                 0.9867,                0.97222,                0.99378,                0.96793,                0.25508,                0.26515,                 0.8179,              0.0065988,              0.0065988,              0.0065988
                      3,                 0.4939,                0.67928,                0.95893,                0.99509,                 0.9887,                0.99498,                 0.9734,                0.24729,                0.20131,                 0.8126,              0.0098002,              0.0098002,              0.0098002
                      4,                0.45487,                0.59393,                0.94299,                 0.9955,                0.99013,                0.99495,                0.97692,                0.24198,                0.17362,                 0.8083,               0.009703,               0.009703,               0.009703
                      5,                0.40599,                0.54949,                0.92345,                0.99968,                0.99921,                  0.995,                 0.9836,                 0.1995,                0.13374,                0.79335,               0.009703,               0.009703,               0.009703
                      6,                0.36917,                  0.525,                0.90899,                0.99675,                0.99888,                  0.995,                0.98236,                0.20605,                0.14503,                 0.7971,               0.009604,               0.009604,               0.009604
                      7,                0.34824,                0.50092,                 0.8997,                0.99923,                0.99915,                  0.995,                0.98387,                0.21088,                0.13048,                0.79441,               0.009505,               0.009505,               0.009505
                      8,                0.33086,                0.49307,                0.89434,                0.18149,                0.68917,                0.26366,                0.24668,                0.44436,                 3.5073,                0.94843,               0.009406,               0.009406,               0.009406
                      9,                0.31637,                0.48041,                0.88994,                0.99985,                      1,                  0.995,                0.99103,                0.14606,                0.10306,                0.77435,               0.009307,               0.009307,               0.009307
                     10,                0.30622,                0.47506,                0.88706,                0.99988,                      1,                  0.995,                0.99129,                  0.148,                0.09868,                0.77566,               0.009208,               0.009208,               0.009208
                     11,                 0.2974,                0.46704,                0.88258,                0.99984,                      1,                  0.995,                0.99112,                0.15135,                0.09755,                 0.7765,               0.009109,               0.009109,               0.009109
                     12,                 0.2917,                0.46418,                0.88161,                0.99989,                      1,                  0.995,                0.99254,                0.13218,                0.08744,                0.77107,                0.00901,                0.00901,                0.00901
                     13,                0.28318,                0.46416,                0.87936,                0.99986,                      1,                  0.995,                0.99284,                0.12162,                0.08518,                 0.7695,               0.008911,               0.008911,               0.008911
                     14,                0.27911,                0.45879,                0.87633,                0.99988,                      1,                  0.995,                0.99215,                 0.1253,                0.08901,                 0.7686,               0.008812,               0.008812,               0.008812
                     15,                0.27216,                0.45066,                0.87492,                0.99987,                      1,                  0.995,                0.99357,                0.11572,                 0.0813,                0.76689,               0.008713,               0.008713,               0.008713
                     16,                  0.268,                0.45255,                0.87381,                0.99988,                      1,                  0.995,                0.99367,                0.11267,                0.07701,                0.76604,               0.008614,               0.008614,               0.008614
                     17,                0.26537,                 0.4508,                0.87246,                0.99988,                      1,                  0.995,                0.99353,                0.11327,                0.07719,                0.76664,               0.008515,               0.008515,               0.008515
                     18,                0.25981,                0.44832,                0.87085,                0.99989,                      1,                  0.995,                0.99355,                0.11742,                0.07817,                0.76698,               0.008416,               0.008416,               0.008416
                     19,                 0.2575,                0.44353,                0.87003,                0.99988,                      1,                  0.995,                0.99382,                0.10887,                0.07551,                0.76568,               0.008317,               0.008317,               0.008317
                     20,                0.25298,                0.44046,                0.86858,                 0.9999,                      1,                  0.995,                 0.9941,                0.11029,                0.07365,                0.76533,               0.008218,               0.008218,               0.008218
                     21,                0.25014,                0.44339,                0.86834,                 0.9999,                      1,                  0.995,                0.99406,                 0.1058,                0.07146,                0.76433,               0.008119,               0.008119,               0.008119
                     22,                0.24615,                0.43909,                0.86751,                 0.9999,                      1,                  0.995,                0.99434,                0.10322,                0.07016,                0.76388,                0.00802,                0.00802,                0.00802
                     23,                 0.2429,                0.43487,                0.86502,                 0.9999,                      1,                  0.995,                0.99436,                0.10219,                0.07003,                0.76354,               0.007921,               0.007921,               0.007921
                     24,                0.24285,                0.43703,                0.86638,                 0.9999,                      1,                  0.995,                0.99432,                0.10076,                0.06789,                0.76316,               0.007822,               0.007822,               0.007822
                     25,                0.24091,                0.43301,                0.86459,                 0.9999,                      1,                  0.995,                0.99422,                0.10019,                0.06711,                0.76273,               0.007723,               0.007723,               0.007723
                     26,                0.23757,                0.43195,                0.86469,                0.99991,                      1,                  0.995,                0.99443,                0.09782,                0.06557,                0.76206,               0.007624,               0.007624,               0.007624
                     27,                0.23433,                 0.4334,                0.86353,                 0.9999,                      1,                  0.995,                0.99446,                0.09774,                0.06571,                0.76209,               0.007525,               0.007525,               0.007525
                     28,                0.23485,                0.43108,                0.86179,                 0.9999,                      1,                  0.995,                 0.9945,                 0.0973,                0.06549,                0.76199,               0.007426,               0.007426,               0.007426
                     29,                 0.2299,                0.42823,                0.86235,                 0.9999,                      1,                  0.995,                0.99445,                0.09702,                0.06503,                0.76192,               0.007327,               0.007327,               0.007327
                     30,                0.22864,                0.42676,                0.86194,                 0.9999,                      1,                  0.995,                0.99456,                0.09673,                0.06435,                 0.7618,               0.007228,               0.007228,               0.007228
                     31,                0.22654,                0.42311,                0.86017,                 0.9999,                      1,                  0.995,                0.99451,                0.09567,                0.06395,                0.76151,               0.007129,               0.007129,               0.007129
                     32,                0.22562,                0.42602,                0.86215,                 0.9999,                      1,                  0.995,                0.99454,                0.09556,                 0.0637,                0.76146,                0.00703,                0.00703,                0.00703
                     33,                 0.2241,                  0.423,                0.86068,                 0.9999,                      1,                  0.995,                0.99462,                0.09507,                0.06266,                0.76143,               0.006931,               0.006931,               0.006931
                     34,                0.22288,                0.41989,                0.85977,                 0.9999,                      1,                  0.995,                0.99465,                0.09478,                0.06271,                0.76137,               0.006832,               0.006832,               0.006832
                     35,                0.22195,                0.42137,                0.85901,                 0.9999,                      1,                  0.995,                0.99467,                0.09384,                0.06173,                0.76124,               0.006733,               0.006733,               0.006733
                     36,                0.21946,                0.42055,                0.85831,                0.99992,                      1,                  0.995,                 0.9947,                0.09363,                0.06158,                0.76124,               0.006634,               0.006634,               0.006634
                     37,                0.21779,                0.41959,                0.85883,                 0.9999,                      1,                  0.995,                0.99468,                0.09313,                0.06118,                0.76113,               0.006535,               0.006535,               0.006535
                     38,                0.21653,                0.41655,                0.85818,                 0.9999,                      1,                  0.995,                0.99466,                0.09265,                0.06105,                0.76103,               0.006436,               0.006436,               0.006436
                     39,                0.21594,                0.42062,                0.85696,                0.99992,                      1,                  0.995,                 0.9947,                0.09242,                0.06123,                0.76095,               0.006337,               0.006337,               0.006337
                     40,                0.21234,                 0.4169,                0.85723,                 0.9999,                      1,                  0.995,                0.99474,                0.09222,                0.06123,                0.76092,               0.006238,               0.006238,               0.006238
                     41,                0.21332,                0.41921,                0.85788,                 0.9999,                      1,                  0.995,                0.99474,                0.09168,                0.06051,                 0.7608,               0.006139,               0.006139,               0.006139
                     42,                0.20859,                  0.411,                0.85613,                 0.9999,                      1,                  0.995,                0.99466,                0.09143,                0.06032,                 0.7608,                0.00604,                0.00604,                0.00604
                     43,                0.20705,                0.40896,                0.85572,                 0.9999,                      1,                  0.995,                0.99468,                0.09135,                0.06025,                0.76079,               0.005941,               0.005941,               0.005941
                     44,                 0.2073,                0.41149,                0.85532,                 0.9999,                      1,                  0.995,                0.99473,                0.09172,                0.06018,                0.76081,               0.005842,               0.005842,               0.005842
                     45,                0.20625,                0.41237,                0.85531,                 0.9999,                      1,                  0.995,                 0.9947,                0.09136,                0.06028,                0.76072,               0.005743,               0.005743,               0.005743
                     46,                0.20569,                0.41294,                0.85496,                 0.9999,                      1,                  0.995,                0.99474,                0.09114,                0.06007,                0.76061,               0.005644,               0.005644,               0.005644
                     47,                0.20317,                0.40853,                0.85379,                 0.9999,                      1,                  0.995,                0.99476,                 0.0908,                0.05989,                0.76056,               0.005545,               0.005545,               0.005545
                     48,                0.20241,                0.40805,                0.85265,                0.99992,                      1,                  0.995,                0.99478,                0.09063,                0.05983,                0.76051,               0.005446,               0.005446,               0.005446
                     49,                0.20174,                0.40633,                 0.8547,                0.99992,                      1,                  0.995,                0.99477,                0.09028,                0.05944,                 0.7604,               0.005347,               0.005347,               0.005347
                     50,                0.19847,                0.40452,                0.85359,                0.99992,                      1,                  0.995,                0.99481,                0.08963,                 0.0595,                0.76026,               0.005248,               0.005248,               0.005248
                     51,                0.19831,                0.40697,                0.85273,                0.99992,                      1,                  0.995,                0.99482,                0.08942,                0.05919,                0.76022,               0.005149,               0.005149,               0.005149
                     52,                0.19604,                0.40449,                0.85236,                0.99992,                      1,                  0.995,                0.99484,                0.08929,                0.05906,                0.76015,                0.00505,                0.00505,                0.00505
                     53,                0.19683,                0.40257,                 0.8531,                0.99992,                      1,                  0.995,                 0.9948,                0.08921,                0.05902,                0.76013,               0.004951,               0.004951,               0.004951
                     54,                 0.1948,                0.40374,                0.85209,                0.99992,                      1,                  0.995,                0.99478,                0.08906,                0.05911,                0.76008,               0.004852,               0.004852,               0.004852
                     55,                0.19513,                0.40787,                0.85265,                0.99994,                      1,                  0.995,                0.99476,                0.08894,                0.05857,                0.76003,               0.004753,               0.004753,               0.004753
                     56,                0.19256,                0.40277,                0.85112,                0.99993,                      1,                  0.995,                0.99472,                0.08889,                 0.0587,                   0.76,               0.004654,               0.004654,               0.004654
                     57,                0.19184,                0.40018,                0.85156,                0.99992,                      1,                  0.995,                0.99473,                0.08867,                0.05828,                0.75994,               0.004555,               0.004555,               0.004555
                     58,                0.18897,                0.39631,                0.85005,                0.99992,                      1,                  0.995,                0.99477,                0.08849,                0.05843,                0.75989,               0.004456,               0.004456,               0.004456
                     59,                0.18835,                0.40139,                0.85092,                0.99992,                      1,                  0.995,                0.99478,                0.08808,                0.05816,                0.75978,               0.004357,               0.004357,               0.004357
                     60,                0.18757,                0.39811,                  0.851,                0.99992,                      1,                  0.995,                0.99478,                0.08774,                0.05786,                 0.7597,               0.004258,               0.004258,               0.004258
                     61,                0.18494,                0.39349,                0.84971,                 0.9999,                      1,                  0.995,                 0.9948,                0.08755,                0.05759,                0.75964,               0.004159,               0.004159,               0.004159
                     62,                 0.1853,                0.39905,                0.85091,                 0.9999,                      1,                  0.995,                 0.9948,                0.08745,                0.05763,                 0.7596,                0.00406,                0.00406,                0.00406
                     63,                0.18404,                  0.397,                0.85027,                 0.9999,                      1,                  0.995,                0.99482,                 0.0874,                0.05793,                0.75955,               0.003961,               0.003961,               0.003961
                     64,                0.18235,                0.39474,                0.85008,                 0.9999,                      1,                  0.995,                0.99482,                0.08711,                0.05793,                0.75948,               0.003862,               0.003862,               0.003862
                     65,                0.17971,                0.39362,                0.84887,                 0.9999,                      1,                  0.995,                0.99482,                0.08705,                0.05761,                0.75945,               0.003763,               0.003763,               0.003763
                     66,                0.18061,                0.39329,                0.84832,                 0.9999,                      1,                  0.995,                0.99481,                0.08685,                0.05735,                 0.7594,               0.003664,               0.003664,               0.003664
                     67,                0.17806,                0.39247,                0.84743,                 0.9999,                      1,                  0.995,                 0.9948,                0.08682,                0.05748,                0.75934,               0.003565,               0.003565,               0.003565
                     68,                0.17704,                0.39085,                0.84738,                 0.9999,                      1,                  0.995,                0.99484,                0.08663,                0.05702,                 0.7593,               0.003466,               0.003466,               0.003466
                     69,                 0.1763,                0.39104,                0.84853,                 0.9999,                      1,                  0.995,                0.99481,                0.08628,                 0.0569,                0.75923,               0.003367,               0.003367,               0.003367
                     70,                0.17605,                0.38971,                0.84775,                 0.9999,                      1,                  0.995,                0.99482,                0.08593,                0.05709,                0.75919,               0.003268,               0.003268,               0.003268
                     71,                0.17416,                0.39204,                0.84714,                 0.9999,                      1,                  0.995,                0.99483,                 0.0858,                0.05731,                0.75914,               0.003169,               0.003169,               0.003169
                     72,                0.17398,                0.38771,                 0.8477,                 0.9999,                      1,                  0.995,                0.99485,                0.08552,                0.05734,                0.75908,                0.00307,                0.00307,                0.00307
                     73,                0.17033,                0.37974,                0.84626,                 0.9999,                      1,                  0.995,                0.99481,                0.08537,                0.05702,                0.75902,               0.002971,               0.002971,               0.002971
                     74,                0.16953,                0.38303,                0.84604,                 0.9999,                      1,                  0.995,                0.99478,                 0.0853,                0.05697,                0.75898,               0.002872,               0.002872,               0.002872
                     75,                0.16963,                0.38342,                0.84675,                 0.9999,                      1,                  0.995,                 0.9948,                0.08493,                0.05689,                 0.7589,               0.002773,               0.002773,               0.002773
                     76,                0.16827,                0.38429,                0.84623,                 0.9999,                      1,                  0.995,                0.99482,                0.08442,                0.05636,                0.75883,               0.002674,               0.002674,               0.002674
                     77,                0.16547,                 0.3788,                 0.8451,                 0.9999,                      1,                  0.995,                0.99487,                0.08409,                0.05619,                0.75869,               0.002575,               0.002575,               0.002575
                     78,                0.16359,                0.37797,                0.84473,                 0.9999,                      1,                  0.995,                0.99487,                0.08384,                0.05596,                0.75861,               0.002476,               0.002476,               0.002476
                     79,                0.16208,                0.37077,                0.84404,                0.99989,                      1,                  0.995,                0.99484,                0.08358,                0.05613,                 0.7585,               0.002377,               0.002377,               0.002377
                     80,                0.16145,                0.37977,                0.84304,                0.99989,                      1,                  0.995,                0.99482,                0.08338,                0.05581,                0.75848,               0.002278,               0.002278,               0.002278
                     81,                0.15917,                0.37484,                0.84316,                0.99989,                      1,                  0.995,                0.99488,                0.08314,                0.05519,                0.75842,               0.002179,               0.002179,               0.002179
                     82,                0.15996,                0.37392,                0.84352,                0.99989,                      1,                  0.995,                0.99488,                0.08296,                0.05492,                0.75834,                0.00208,                0.00208,                0.00208
                     83,                0.15675,                0.37308,                0.84275,                 0.9999,                      1,                  0.995,                0.99486,                0.08298,                0.05481,                0.75829,               0.001981,               0.001981,               0.001981
                     84,                0.15544,                0.37396,                0.84369,                 0.9999,                      1,                  0.995,                0.99489,                0.08287,                0.05511,                0.75827,               0.001882,               0.001882,               0.001882
                     85,                0.15476,                0.37295,                0.84222,                 0.9999,                      1,                  0.995,                0.99488,                0.08263,                 0.0549,                0.75822,               0.001783,               0.001783,               0.001783
                     86,                0.15267,                 0.3682,                  0.841,                 0.9999,                      1,                  0.995,                0.99485,                0.08232,                0.05503,                0.75818,               0.001684,               0.001684,               0.001684
                     87,                0.15111,                0.36669,                0.84317,                 0.9999,                      1,                  0.995,                0.99478,                0.08205,                0.05499,                 0.7581,               0.001585,               0.001585,               0.001585
                     88,                0.14911,                0.36836,                0.84221,                 0.9999,                      1,                  0.995,                0.99484,                0.08196,                0.05498,                0.75802,               0.001486,               0.001486,               0.001486
                     89,                0.14801,                0.36778,                0.84216,                 0.9999,                      1,                  0.995,                0.99484,                 0.0818,                0.05467,                0.75801,               0.001387,               0.001387,               0.001387
                     90,                0.14571,                0.36839,                0.84106,                 0.9999,                      1,                  0.995,                0.99479,                0.08154,                0.05422,                0.75794,               0.001288,               0.001288,               0.001288
                     91,                0.08912,                0.07212,                0.78794,                 0.9999,                      1,                  0.995,                0.99479,                0.08107,                0.05421,                0.75785,               0.001189,               0.001189,               0.001189
                     92,                0.08665,                0.07066,                0.78882,                 0.9999,                      1,                  0.995,                 0.9948,                0.08054,                0.05382,                0.75774,                0.00109,                0.00109,                0.00109
                     93,                0.08551,                0.07038,                0.78937,                 0.9999,                      1,                  0.995,                0.99481,                0.07975,                0.05351,                0.75765,               0.000991,               0.000991,               0.000991
                     94,                0.08273,                 0.0666,                0.78848,                 0.9999,                      1,                  0.995,                0.99486,                0.07905,                0.05319,                0.75757,               0.000892,               0.000892,               0.000892
                     95,                0.08041,                0.06581,                0.78804,                 0.9999,                      1,                  0.995,                0.99488,                0.07862,                0.05252,                0.75746,               0.000793,               0.000793,               0.000793
                     96,                0.07858,                0.06309,                0.78763,                 0.9999,                      1,                  0.995,                0.99488,                0.07831,                 0.0524,                0.75739,               0.000694,               0.000694,               0.000694
                     97,                0.07743,                0.06233,                0.78645,                 0.9999,                      1,                  0.995,                0.99487,                0.07781,                0.05194,                 0.7573,               0.000595,               0.000595,               0.000595
                     98,                0.07584,                0.06095,                0.78594,                 0.9999,                      1,                  0.995,                0.99489,                 0.0773,                 0.0516,                0.75719,               0.000496,               0.000496,               0.000496
                     99,                0.07431,                0.05927,                0.78802,                 0.9999,                      1,                  0.995,                0.99489,                0.07695,                0.05125,                0.75714,               0.000397,               0.000397,               0.000397
